SMILES,hh_strange,qed,sa
Cc1ccc2c(c1)sc1c(=O)[nH]c3ccc(C(=O)NCCCN(C)C)cc3c12,0.0,0.5057888,2.4173915
O=C(NCCN1CCOCC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.0,0.8292068,2.2066417
COc1cccc(NC(=O)c2oc3ccccc3c2NC(=O)c2ccc3c(c2)OCO3)c1,0.0,0.47724062,2.173069
COC(=O)c1nnn(CC(=O)C(CC2CCNC2=O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(C)=O)c1C(=O)OC,0.01,0.12188734,4.3761086
Cc1ccccc1N1C(=O)NC(=O)C(=Cc2cc(Br)c(N3CCOCC3)o2)C1=O,0.0,0.55978346,2.7164876
COc1nc(=Nc2ccc(Cl)cc2)sn1C,0.01,0.82659084,3.1178622
CC(C)(C)OC(=O)NC(Cc1ccc2cc(O)ccc2c1)C(=O)O,0.0,0.79999465,2.4682634
CCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0.01,0.72414696,4.2663774
CC(C)CC(C=O)NC(=O)C(COCc1ccccc1)NS(C)(=O)=O,0.0,0.5624786,3.1250417
O=C(NCC1CN(c2ccc(N3Cc4cccnc4C3)c(F)c2)C(=O)O1)C1CCC1,0.02,0.8203859,3.0626042
COc1cc(O)ccc1C=CC(=O)OCCCc1ccccc1O,0.0,0.46324503,2.2009537
O=C1C=CC(=Nn2cccc2)C=C1,0.0,0.5892042,3.2941024
NC(CCC(=O)Nc1ccccc1-n1cccc1)C(=O)O,0.0,0.7514659,2.5247147
CC(=O)NNC(=O)CC(O)(c1ccccc1)c1ccccc1,0.0,0.74815744,2.1783843
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cnc(C=O)c3)c(F)c21,0.01,0.7286312,2.9819796
CCOC(=O)c1ccc(NC(=O)c2ccc(-c3cccc(Cl)c3C)o2)cc1,0.0,0.6037878,1.983799
CCOC(=O)n1c(=O)n(Cc2nc3ccccc3n2CCC(C)C)c2ccccc21,0.02,0.47986844,2.4382763
O=C(NC1CC1)c1ccc(-c2nc3ccccc3o2)s1,0.0,0.80112785,2.125282
